"q1";"q2";"s2";"k";"Q";"c3";"c2";"c1";"s1";"c4";"time";"r_aSaJ_2";"vs_1_0_1";"vs_2_1_1";"f_2_1_0";"f_2_0_1";"r_mSaJ_1";"vj_1_0_0";"p11";"vs_1_1_1";"vj_2_0_1";"r_mSmJ_2";"f_1_1_1";"f_2_1_1";"vj_1_1_1";"mt";"f_1_0_1";"r_aSmJ_2";"vs_2_0_1";"vj_2_1_1";"vs_2_1_0";"vs_1_0_0";"r_aSaJ_1";"f_2_0_0";"p10";"vs_2_0_0";"vj_1_0_1";"f_1_1_0";"vj_2_0_0";"p20";"vj_2_1_0";"r_mSmJ_1";"vj_1_1_0";"r_aSmJ_1";"p21";"f_1_0_0";"vs_1_1_0";"r_mSaJ_2";"file";"x2";"y2";"x2.2";"y2.2"
0;0;0.519619;0.1;0.05;0.5;0.5;0.5;2.53697;0.5;6007;0.119502;0.982908;1.18643;0.0196205;0.0297284;0.11948;0.985136;0.000947158;0.916594;0.753462;0.120107;0.000459834;0.779808;0.91671;0.803667;0.00747921;0.11948;0.753343;1.18643;1.22304;0.985136;0.120167;0.000843105;2.56114e-05;0.783001;0.982908;0.00849267;0.783104;1e-04;1.22304;0.119502;0.923146;0.119466;1e-04;0.153568;0.923042;0.119471;"hpcbatch_31_03_2015_131627/core_2089/iter_fecmort_31_3_2015_132303_902182995";0.83;0.06;0.830000369693145;0.0600001772210831
0;0;0.739073;0.95;0.05;0.5;0.5;0.5;0.710089;0.5;488371;0.939556;0.864806;1.01078;0.117766;0.148045;0.953598;1.0058;0.696971;1.01404;0.877606;0.938597;0.18222;0.143516;0.994386;0.356597;0.147521;0.95415;0.863603;0.996614;1.12225;0.982473;0.941532;0.0806737;4.08401e-06;0.979043;0.873235;0.117501;1.00819;0.999925;1.13329;0.936155;1.13307;0.953915;0.462138;0.062759;1.12768;0.953715;"hpcbatch_31_03_2015_131627/core_1234/iter_fecmort_31_3_2015_134431_879754770";0.49;-0.14;0.489999737779489;-0.13999993907418
0;0;0.739073;0.1;0.05;0.5;0.5;0.5;0.710089;0.5;103128;0.0964528;0.808823;1.11459;0.106076;0.131831;0.112224;0.8406;0.99991;1.12641;0.825885;0.0948378;0.205127;0.146502;1.11244;0.828783;0.128284;0.108768;0.810914;1.10594;1.14047;0.825132;0.0992563;0.105591;6.24934e-06;0.825605;0.822094;0.104295;0.843434;0.999934;1.13076;0.0915498;1.1388;0.107857;0.22493;0.072295;1.15407;0.112577;"hpcbatch_31_03_2015_131627/core_1234/iter_fecmort_31_3_2015_134117_121133724";0.49;-0.14;0.489999737779489;-0.13999993907418
0;0;0.739073;0.5;0.05;0.5;0.5;0.5;0.710089;0.5;129695;0.462514;0.83747;1.05573;0.111097;0.137984;0.525943;0.940085;0.860188;1.06512;0.860013;0.460201;0.196233;0.147055;1.04021;0.504997;0.13568;0.524235;0.833587;1.03826;1.1359;0.909939;0.47277;0.0938642;1e-04;0.902527;0.857467;0.109942;0.939826;0.999988;1.13049;0.448157;1.13536;0.52253;0.33765;0.0681452;1.14869;0.526811;"hpcbatch_31_03_2015_131627/core_1234/iter_fecmort_31_3_2015_134228_573444425";0.49;-0.14;0.489999737779489;-0.13999993907418
0;0;0.189496;0.95;0.05;0.5;0.5;0.5;1.91602;0.5;103365;0.954841;0.961789;1.00764;0.018144;0.0313016;0.954836;0.996979;0.000995119;0.996271;0.813504;0.954984;0.000269086;0.859802;0.996305;0.32109;0.00420127;0.954837;0.813447;1.00764;1.18899;0.996979;0.955013;0.000751984;1.4984e-05;0.993753;0.961806;0.00459274;0.993835;1.7276e-05;1.18904;0.954841;1.03219;0.954831;1e-04;0.0809369;1.03217;0.954835;"hpcbatch_31_03_2015_131627/core_2282/iter_fecmort_31_3_2015_140530_891377838";0.91;-0.22;0.910000208974902;-0.219999957447159
0;0;0.189496;0.1;0.05;0.5;0.5;0.5;1.91602;0.5;6473;0.108119;0.931967;1.19438;0.0181593;0.031326;0.108104;0.936127;0.000917364;0.89134;0.699292;0.108567;0.000268626;0.859764;0.891485;0.82088;0.00420511;0.108104;0.699144;1.19438;1.23162;0.936127;0.10868;0.000751;1e-04;0.728917;0.931968;0.00459624;0.729041;1e-04;1.23162;0.108119;0.900067;0.108089;1e-04;0.08093;0.899941;0.108096;"hpcbatch_31_03_2015_131627/core_2282/iter_fecmort_31_3_2015_140137_144567309";0.91;-0.22;0.910000208974902;-0.219999957447159
0;0;0.189496;0.5;0.05;0.5;0.5;0.5;1.91602;0.5;10453;0.525339;0.951381;1.0945;0.0181595;0.0313255;0.52531;0.970687;0.000956803;0.955194;0.78558;0.526253;0.000269221;0.859763;0.955267;0.474662;0.00420473;0.52531;0.785478;1.0945;1.22609;0.970687;0.526454;0.00075245;1.70524e-06;0.906785;0.95139;0.00459609;0.906895;1e-04;1.22611;0.52534;0.980984;0.525278;1e-04;0.08093;0.980926;0.525297;"hpcbatch_31_03_2015_131627/core_2282/iter_fecmort_31_3_2015_140328_392275416";0.91;-0.22;0.910000208974902;-0.219999957447159
0;0;0.0517501;0.1;0.05;0.5;0.5;0.5;0.0583565;0.5;99758;0.149252;0.616013;1.19617;0.0717182;0.130992;0.12479;0.677352;0.999989;1.19689;0.664686;0.13584;0.169384;0.287879;1.14795;0.784246;0.142476;0.108748;0.614135;1.1616;1.24562;0.640389;0.167761;0.0394109;9.44789e-05;0.638058;0.649918;0.0774636;0.692128;0.689074;1.21564;0.137425;1.20337;0.105193;4.90392e-06;0.0806761;1.24849;0.129221;"hpcbatch_31_03_2015_131627/core_1306/iter_fecmort_31_3_2015_132212_973525325";0.53;-1.26;0.530000018164215;-1.25999978498869
0;0;0.0517501;0.95;0.05;0.5;0.5;0.5;0.0583565;0.5;239593;0.956342;0.750759;1.04584;0.0727057;0.131065;0.953272;1.01791;0.9999;1.04495;0.787069;0.951276;0.220462;0.284954;0.966053;0.327824;0.126546;0.950288;0.752186;0.977006;1.22106;0.938793;0.957474;0.0412752;9.0956e-05;0.939611;0.774946;0.0704518;1.03031;0.869938;1.2417;0.951996;1.23073;0.949822;4.84514e-05;0.0525404;1.22093;0.953557;"hpcbatch_31_03_2015_131627/core_1306/iter_fecmort_31_3_2015_132613_958687031";0.53;-1.26;0.530000018164215;-1.25999978498869
0;0;0.0517501;0.5;0.05;0.5;0.5;0.5;0.0583565;0.5;45016;0.546896;0.649683;1.14101;0.0713962;0.129165;0.516558;0.838742;0.9999;1.13174;0.74198;0.517888;0.200939;0.288774;1.03791;0.476364;0.131973;0.493069;0.657723;1.0657;1.27404;0.750714;0.562182;0.0406649;8.31196e-05;0.760124;0.711864;0.072801;0.872214;0.786617;1.24169;0.523337;1.21198;0.488496;1e-04;0.0642878;1.26519;0.520792;"hpcbatch_31_03_2015_131627/core_1306/iter_fecmort_31_3_2015_132434_595024234";0.53;-1.26;0.530000018164215;-1.25999978498869
